"","country","week","sex","avAbNumber","avCrRate","avStRate","avDifAbs","avDifCrRate","avDifStRate","regCrRate","regStRate","actCrRate","actStRate","regDifAbs","regDifCrRate","regDifStRate"
"1","AUS",1,"male",1488.2,0.00634355483411673,0.00870875755245572,51.8,-3.74685814421303e-05,-0.000493588289239231,0.00630030099498062,0.00828575262105591,0.0063060862526746,0.00821516926321649,-6.70000000000437,5.78525769397587e-06,-7.05833578394186e-05
"2","AUS",1,"female",1390.4,0.0058454941399418,0.0064754523116457,-4.40000000000009,-0.000253281102736216,-0.000499046801598778,0.00546065268681339,0.0058823452167569,0.00559221303720558,0.00597640551004692,20.8000000000029,0.000131560350392186,9.40602932900172e-05
"3","AUS",1,"both",2878.6,0.00609270782999673,0.00751810379936586,47.4000000000001,-0.000146195831159611,-0.00048077256183038,0.00587738346873143,0.00698868647790191,0.00594651199883712,0.00703733123753548,14.1000000000022,6.9128530105691e-05,4.86447596335753e-05
"4","AUS",2,"male",1480.4,0.00630895663563423,0.00867006897575171,47.5999999999999,-5.20087173960558e-05,-0.000506056387487736,0.0064010538118184,0.00837765119059553,0.00625694791823817,0.00816401258826397,-42.1000000000058,-0.000144105893580231,-0.000213638602331553
"5","AUS",2,"female",1392.4,0.0058512708002061,0.00647400099214323,-18.4000000000001,-0.000307475191894084,-0.000520935469502762,0.00571556272200888,0.00617829408705647,0.00554379560831202,0.00595306552264046,-51.1000000000022,-0.000171767113696856,-0.000225228564416011
"6","AUS",2,"both",2872.8,0.00607846096218174,0.00749943022063183,29.1999999999998,-0.000180724181380188,-0.000519142908930125,0.00605576871037006,0.00721866792950282,0.00589773678080155,0.00698028731170171,-93.2000000000262,-0.000158031929568513,-0.000238380617801111
"7","AUS",3,"male",1493.4,0.00636527038001668,0.00877839472041146,64.5999999999999,1.45233743125478e-05,-0.000435491930302463,0.00637165087325073,0.00838348277435863,0.00637979375432923,0.008342902790109,-5.90000000000873,8.1428810784984e-06,-4.05799842496338e-05
"8","AUS",3,"female",1347.6,0.00566130070545188,0.00625248040899597,8.40000000000009,-0.000190131240480186,-0.000386576241455354,0.00569993524148022,0.0061676638391122,0.00547116946497169,0.00586590416754061,-65.1000000000058,-0.000228765776508531,-0.000301759671571589
"9","AUS",3,"both",2841,0.00601073622326826,0.00741842565290295,73,-8.86118334489277e-05,-0.000409285309299868,0.0060332682061368,0.00720755826618538,0.00592212438981933,0.00700914034360308,-71.0000000000146,-0.000111143816317468,-0.000198417922582302
"10","AUS",4,"male",1459.2,0.00621636681700509,0.00851189339683343,109.8,0.000208470410557526,-0.000117108067950128,0.00652365757902915,0.0085041204244541,0.00642483722756262,0.0083947853288833,-29.4000000000233,-9.88203514665264e-05,-0.0001093350955708
"11","AUS",4,"female",1373.2,0.00577032650553231,0.00637194199527156,64.8,3.16953902120042e-05,-0.000142080768134501,0.00566063993360437,0.00610127464713767,0.00580202189574431,0.00622986122713706,26.3999999999978,0.000141381962139941,0.000128586579999393
"12","AUS",4,"both",2832.4,0.00599171925438897,0.00738310253578866,174.6,0.000119409105318214,-0.000122763477252414,0.00608898413230852,0.00724233511414289,0.00611112835970718,0.00726033905853625,-3.00000000001455,2.21442273986563e-05,1.80039443933543e-05
"13","AUS",5,"male",1454.8,0.00619953228875566,0.00855605964770107,54.2,-2.03867333751582e-05,-0.000449616164781376,0.00632344107159624,0.00840095540712589,0.0061791455553805,0.0081064434829197,-41.8000000000102,-0.000144295516215742,-0.000294511924206195
